rank,player_id,player_name,season,season_type,scraped_at,rk,name,pos,gp,min,pts,fgm,fga,fg_percent,3pm,3pa,3p_percent,ftm,fta,ft_percent,reb,ast,stl,blk,to,dd2,td3
38,2490149,CJ McCollum,2023-24,regular,2025-11-09T11:30:37.711562,38,CJ McCollum,G,66,32.7,20.0,7.3,16.0,45.9,3.6,8.4,42.9,1.7,2.1,82.7,4.3,4.6,0.9,0.6,1.7,2,0
39,4433134,Scottie Barnes,2023-24,regular,2025-11-09T11:30:37.711616,39,Scottie Barnes,F,60,34.9,19.9,7.5,15.7,47.5,1.7,4.9,34.1,3.3,4.2,78.1,8.2,6.1,1.3,1.5,2.8,25,4
40,3074752,Terry Rozier,2023-24,regular,2025-11-09T11:30:37.711669,40,Terry Rozier,G,61,33.4,19.8,7.2,16.4,44.3,2.4,6.7,36.3,2.8,3.2,86.9,4.0,5.6,1.0,0.3,1.7,4,0
41,4566434,Franz Wagner,2023-24,regular,2025-11-09T11:30:37.711741,41,Franz Wagner,F,72,32.5,19.7,7.3,15.2,48.2,1.3,4.6,28.1,3.8,4.4,85.0,5.3,3.7,1.1,0.4,1.9,0,0
42,4437244,Jalen Green,2023-24,regular,2025-11-09T11:30:37.711798,42,Jalen Green,G,82,31.7,19.6,6.9,16.2,42.3,2.5,7.4,33.2,3.5,4.3,80.4,5.2,3.5,0.8,0.3,2.3,7,1
43,3147657,Mikal Bridges,2023-24,regular,2025-11-09T11:30:37.711852,43,Mikal Bridges,G,82,34.8,19.6,6.9,15.8,43.6,2.7,7.2,37.2,3.1,3.9,81.4,4.5,3.6,1.0,0.4,2.0,3,0
44,4395630,Devin Vassell,2023-24,regular,2025-11-09T11:30:37.711904,44,Devin Vassell,G,68,33.1,19.5,7.3,15.5,47.2,2.4,6.6,37.2,2.4,3.0,80.1,3.8,4.1,1.1,0.3,1.6,0,0
45,3155942,Domantas Sabonis,2023-24,regular,2025-11-09T11:30:37.711957,45,Domantas Sabonis,F,82,35.7,19.4,7.7,13.0,59.4,0.4,1.1,37.9,3.6,5.1,70.4,13.7,8.2,0.9,0.6,3.3,77,26
46,4066261,Bam Adebayo,2023-24,regular,2025-11-09T11:30:37.712009,46,Bam Adebayo,C,71,34.0,19.3,7.5,14.3,52.1,0.2,0.6,35.7,4.1,5.5,75.5,10.4,3.9,1.1,0.9,2.3,42,2
47,4395651,Coby White,2023-24,regular,2025-11-09T11:30:37.712066,47,Coby White,G,79,36.5,19.1,6.8,15.3,44.7,2.6,7.0,37.6,2.8,3.3,83.8,4.5,5.1,0.7,0.2,2.1,5,0
48,4593803,Jalen Williams,2023-24,regular,2025-11-09T11:30:37.712120,48,Jalen Williams,G,71,31.3,19.1,7.5,14.0,54.0,1.5,3.4,42.7,2.5,3.1,81.4,4.0,4.5,1.1,0.6,1.7,3,0
49,4277811,Collin Sexton,2023-24,regular,2025-11-09T11:30:37.712174,49,Collin Sexton,G,78,26.6,18.7,6.5,13.3,48.7,1.6,4.2,39.4,4.1,4.7,85.9,2.6,4.9,0.8,0.2,2.1,4,0
50,6478,Nikola Vucevic,2023-24,regular,2025-11-09T11:30:37.712227,50,Nikola Vucevic,C,76,34.3,18.0,7.7,15.9,48.4,1.2,4.1,29.4,1.4,1.7,82.2,10.5,3.3,0.7,0.8,1.6,45,0
